doctype,part,source,fa
Sales Invoice,option,فاکتور-فروش-.YYYY.-#####,
Purchase Receipt,option,رسید-خرید-.YYYY.-#####,
Delivery Note,option,حواله-تحویل-.YYYY.-#####,
Purchase Invoice,option,فاکتور-خرید-.YYYY.-#####,
Quotation,option,پیش‌فاکتور-.YYYY.-#####,
Purchase Order,option,سفارش-خرید-.YYYY.-#####,
Sales Order,option,سفارش-فروش-.YYYY.-#####,
Sales Order,description,"If checked, Stock will be reserved on <b>Submit</b>",
Accounts Settings,description,"Learn about <a href=""https://docs.erpnext.com/docs/v13/user/manual/en/accounts/articles/common_party_accounting#:~:text=Common%20Party%20Accounting%20in%20ERPNext,Invoice%20against%20a%20primary%20Supplier."">Common Party</a>",
Accounts Settings,description,"System will do an implicit conversion using the pegged currency. <br>
Ex: Instead of AED -&gt; INR, system will do AED -&gt; USD -&gt; INR using the pegged exchange rate of AED against USD.",
Stock Settings,description,Stock will be reserved on submission of <b>Purchase Receipt</b> created against Material Request for Sales Order.,
Stock Settings,description,Serial and Batch Nos will be auto-reserved based on <b>Pick Serial / Batch Based On</b>,
